PLAYER_NAME,POSITIONS,SALARY,FPTS,1_day_lag_season_averageFPTS
LeBron James,PG/SF,10400.0,39.25,51.02777777777778
Wesley Matthews,SG/SF,3000.0,4.5,8.553030303030303
Markieff Morris,PF,4300.0,22.25,10.641891891891891
Dennis Schroder,PG/SG,6200.0,31.25,27.62878787878788
Kentavious Caldwell-Pope,SG,3700.0,16.25,16.045454545454547
Montrezl Harrell,C,6000.0,34.0,26.07638888888889
Damian Jones,C,3000.0,7.75,2.6923076923076925
Alex Caruso,PG/SG,3600.0,8.0,15.318965517241379
Alfonzo McKinnie,SF/PF,3000.0,0.0,2.0135135135135136
Kyle Kuzma,SF/PF,5900.0,45.75,24.28472222222222
Talen Horton-Tucker,SF,4000.0,10.0,13.95945945945946
Devontae Cacok,PF,3000.0,0.0,1.2708333333333333
Udonis Haslem,C,3000.0,0.0,0.0
Andre Iguodala,SF/PF,3500.0,4.0,15.821428571428571
Goran Dragic,PG,6000.0,41.25,27.78409090909091
Jimmy Butler,SF,9200.0,52.75,48.06818181818182
Maurice Harkless,SF,3000.0,0.0,2.1770833333333335
Kelly Olynyk,PF/C,5700.0,29.25,23.39864864864865
Duncan Robinson,SG,4700.0,32.75,22.324324324324323
Kendrick Nunn,PG,5400.0,24.5,21.647058823529413
Gabe Vincent,PG/SG,3000.0,0.0,8.291666666666666
Max Strus,SF,3000.0,0.0,6.672413793103448
Tyler Herro,PG/SG,5600.0,12.0,31.03
KZ Okpala,PF,3000.0,13.25,3.1714285714285713
Chris Silva,C,3000.0,11.75,3.225
Precious Achiuwa,C,3700.0,3.25,12.89864864864865
Dwight Howard,C,6000.0,21.0,18.824324324324323
Danny Green,SF,4400.0,32.5,20.14864864864865
Tobias Harris,PF,8300.0,30.5,38.2421875
Mike Scott,PF/C,3500.0,14.5,9.458333333333334
Seth Curry,SG,5600.0,25.0,22.571428571428573
Joel Embiid,C,10700.0,39.25,54.916666666666664
Furkan Korkmaz,SG/SF,4200.0,31.75,14.73076923076923
Terrance Ferguson,SF,3000.0,1.5,0.17592592592592593
Tony Bradley,C,3400.0,11.25,4.47972972972973
Shake Milton,PG/SG,5800.0,30.0,22.724137931034484
Matisse Thybulle,SF,3100.0,22.25,11.588235294117647
Vincent Poirier,C,3000.0,1.25,0.8125
Tyrese Maxey,PG/SG,3900.0,2.0,12.792857142857143
Ersan Ilyasova,PF/C,3500.0,0.0,
Mike Conley,PG,6400.0,31.75,32.577586206896555
Derrick Favors,C,3200.0,4.0,17.051470588235293
Bojan Bogdanovic,SF/PF,5600.0,28.25,25.29861111111111
Rudy Gobert,C,7800.0,44.25,39.076388888888886
Jordan Clarkson,PG/SG,6400.0,19.5,29.36111111111111
Joe Ingles,SG/SF,5400.0,18.25,24.2578125
Royce O'Neale,SF/PF,4800.0,33.75,22.958333333333332
Georges Niang,PF,3000.0,16.5,10.180555555555555
Donovan Mitchell,PG/SG,8800.0,52.25,41.4485294117647
Miye Oni,SG/SF,3000.0,0.0,3.5972222222222223
Jarrell Brantley,SF,3000.0,0.0,1.2647058823529411
Juwan Morgan,PF,3000.0,0.0,1.7037037037037037
Trent Forrest,SG,3000.0,0.0,0.875
Rudy Gay,PF,5200.0,29.25,22.916666666666668
Patty Mills,PG/SG,4500.0,26.75,21.71969696969697
Trey Lyles,PF/C,3900.0,7.5,7.401515151515151
Dejounte Murray,PG,7500.0,36.5,36.96875
Jakob Poeltl,C,6100.0,26.75,22.106060606060606
Derrick White,PG/SG,4900.0,20.75,22.5
Keita Bates-Diop,SF/PF,3000.0,0.0,3.5104166666666665
Lonnie Walker IV,SG/SF,4400.0,14.5,19.637096774193548
Drew Eubanks,C,3000.0,20.25,6.967391304347826
Keldon Johnson,SF/PF,4800.0,18.75,28.196428571428573
Luka Samanic,SF/PF,3400.0,4.0,4.475
Devin Vassell,SG/SF,3000.0,15.75,13.75
Tre Jones,PG,3000.0,2.0,1.2307692307692308
Paul Millsap,PF/C,4800.0,25.25,22.153846153846153
Will Barton,SF,5400.0,35.75,23.643939393939394
Nikola Jokic,C,10900.0,62.75,59.22222222222222
Greg Whittington,PF,3000.0,0.0,0.0
Jamal Murray,PG,8400.0,18.25,36.98529411764706
Isaiah Hartenstein,C,3000.0,10.5,7.0
PJ Dozier,SG/SF,4000.0,9.5,17.55
Monte Morris,PG/SG,4600.0,19.5,20.514285714285716
Vlatko Cancar,SF,3000.0,0.0,2.4375
Michael Porter Jr.,SF/PF,7400.0,34.75,29.778846153846153
Bol Bol,SF/PF,3000.0,0.0,1.6736111111111112
Zeke Nnaji,PF/C,3000.0,0.0,3.9652777777777777
Facundo Campazzo,PG/SG,4100.0,17.0,11.6484375
Thaddeus Young,PF/C,5700.0,34.5,28.296875
Garrett Temple,SG,4000.0,6.25,18.15
Tomas Satoransky,PG,3300.0,7.25,17.25
Otto Porter Jr.,SF/PF,5400.0,7.5,24.828125
Zach LaVine,SG,9600.0,51.0,45.43571428571428
Cristiano Felicio,C,3000.0,0.0,1.0285714285714285
Denzel Valentine,SG/SF,3400.0,17.25,15.435714285714285
Ryan Arcidiacono,PG,3000.0,0.0,5.392857142857143
Lauri Markkanen,PF,6500.0,31.5,30.716666666666665
Luke Kornet,PF/C,3000.0,0.0,2.265625
Wendell Carter Jr.,C,5900.0,19.75,27.854166666666668
Coby White,PG/SG,6800.0,24.25,31.242857142857144
Daniel Gafford,C,3000.0,0.0,9.685714285714285
Patrick Williams,SF,4600.0,6.5,20.954545454545453
Russell Westbrook,PG,10200.0,45.25,49.92857142857143
Robin Lopez,C,3500.0,17.25,16.357142857142858
Bradley Beal,SG,9700.0,22.0,49.78030303030303
Alex Len,C,3100.0,12.25,10.169117647058824
Raul Neto,PG/SG,4300.0,20.25,16.333333333333332
Troy Brown Jr.,PG/SF,3000.0,6.25,5.717741935483871
Jerome Robinson,SG,3000.0,0.0,4.307142857142857
Moritz Wagner,C,3300.0,17.5,10.65625
Rui Hachimura,PF/C,5500.0,12.5,23.223214285714285
Isaac Bonga,SF/PF,3000.0,2.0,4.114285714285714
Garrison Mathews,SG/SF,3300.0,11.5,11.913793103448276
Deni Avdija,SF/PF,3800.0,11.25,16.612068965517242
Cassius Winston,PG,3000.0,6.25,3.75
Anthony Gill,PF,3000.0,0.0,1.4338235294117647
JaVale McGee,C,3500.0,12.5,13.67361111111111
Larry Nance Jr.,PF/C,5400.0,20.0,28.694444444444443
Cedi Osman,SF,5500.0,12.25,22.470588235294116
Jarrett Allen,C,8600.0,24.25,32.72142857142857
Damyean Dotson,SG,3100.0,14.25,12.193548387096774
Collin Sexton,PG/SG,8100.0,29.0,36.725
Dylan Windler,SG/SF,4200.0,16.25,15.659090909090908
Dean Wade,PF,4600.0,8.75,5.942857142857143
Isaac Okoro,SF,4800.0,3.0,17.282258064516128
Lamar Stevens,SF,3000.0,2.0,7.6796875
Al-Farouq Aminu,PF,4400.0,16.0,14.8
Nikola Vucevic,C,10300.0,40.75,49.54054054054054
Michael Carter-Williams,PG/SG,6300.0,12.0,23.13888888888889
Khem Birch,C,3000.0,8.0,17.352941176470587
Chasson Randle,PG,3100.0,12.25,13.972222222222221
Dwayne Bacon,SG/SF,4200.0,23.0,17.06756756756757
Mo Bamba,C,3000.0,20.25,6.78125
Gary Clark,PF/C,3000.0,19.5,8.527027027027026
Chuma Okeke,PF/C,3200.0,18.25,14.321428571428571
Eric Bledsoe,PG/SG,5800.0,4.75,24.77777777777778
Steven Adams,C,5300.0,34.25,25.689393939393938
Willy Hernangomez,C,4100.0,15.0,10.702702702702704
Brandon Ingram,SF/PF,8300.0,46.25,40.16216216216216
Lonzo Ball,PG,7000.0,20.5,31.765151515151516
Josh Hart,SF,5000.0,10.5,23.972972972972972
Sindarius Thornwell,SG,3000.0,2.75,1.2419354838709677
Zion Williamson,PF/C,9100.0,32.5,41.94285714285714
Jaxson Hayes,C,3200.0,24.0,7.716216216216216
Nickeil Alexander-Walker,PG/SG,3800.0,31.0,13.135135135135135
Nicolo Melli,PF,3100.0,20.0,3.425675675675676
Kira Lewis Jr.,PG/SG,3000.0,10.25,6.601351351351352
Jonas Valanciunas,C,7700.0,32.25,37.81730769230769
Gorgui Dieng,C,3000.0,0.0,12.166666666666666
Kyle Anderson,SF/PF,6000.0,8.25,29.983870967741936
Tyus Jones,PG,3100.0,12.0,20.689393939393938
Justise Winslow,PG/SF,4500.0,25.0,20.25
Dillon Brooks,SG/SF,5200.0,28.75,27.016666666666666
De'Anthony Melton,PG/SG,4300.0,28.0,21.227272727272727
Jontay Porter,C,3000.0,0.0,
Ja Morant,PG,8100.0,35.0,38.65625
Brandon Clarke,PF/C,5100.0,35.0,25.383928571428573
Killian Tillie,PF/C,3000.0,0.0,1.25
John Konchar,SG/SF,3000.0,0.0,8.413793103448276
Xavier Tillman,C,3400.0,2.0,17.732142857142858
Desmond Bane,SG/SF,4400.0,15.0,17.724137931034484
Jeremy Lamb,SG/SF,4100.0,4.5,21.9875
Justin Holiday,SG/SF,5300.0,11.5,23.364285714285714
Doug McDermott,SF/PF,5000.0,22.0,21.235294117647058
JaKarr Sampson,PF/C,3000.0,0.0,2.553030303030303
T.J. McConnell,PG,5900.0,24.25,25.3984375
Myles Turner,C,6300.0,22.75,32.234848484848484
Domantas Sabonis,PF/C,9900.0,51.5,47.86029411764706
Malcolm Brogdon,PG/SG,8000.0,48.25,39.44117647058823
Edmond Sumner,PG/SF,3000.0,0.5,5.840909090909091
Brian Bowen II,SF,3000.0,0.0,0.85
Aaron Holiday,PG/SG,3300.0,14.75,13.360294117647058
Goga Bitadze,C,3000.0,7.5,6.043478260869565
Jalen Lecque,PG/SG,3000.0,0.0,1.0833333333333333
Cassius Stanley,SG/SF,3000.0,0.0,0.9852941176470589
Ben McLemore,SG,3500.0,19.25,10.133333333333333
David Nwaba,SG,4300.0,23.5,20.423076923076923
Justin Patton,C,4900.0,28.75,18.0
Sterling Brown,SG/SF,4500.0,23.75,18.846774193548388
Kevin Porter Jr.,SG/SF,3200.0,47.75,42.25
Anthony Lamb,PF,3300.0,14.5,4.75
Jae'Sean Tate,SF/PF,5800.0,17.5,21.792857142857144
Kelan Martin,PF,3000.0,0.0,1.0857142857142856
